cod_manifestacao,Nome da Ponte,UF,Município,A) A ponte está mal iluminada?,B) A sinalização na ponte é inadequada?,C) Há acúmulo de lixo ou entulho na ponte?,D) Há sinais visíveis de ferrugem ou rachaduras?,E) A ponte apresenta trepidação excessiva ao passar veículos?,F) A estrutura da ponte aparenta má conservação?,G) Há dificuldades de acesso para pedestres ou ciclistas?,H) Há buracos ou desníveis na ponte?,I) A ponte apresenta tráfego frequentemente congestionado?,J) A ponte possui guarda-corpos danificados ou ausentes?,K) Você se sente desconfortável/inseguro ao passar na ponte?,Pontuação
1,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
2,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
3,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
4,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
5,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
6,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
7,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
8,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
9,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
10,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
11,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
12,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
13,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25.0
14,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
15,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
16,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
17,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
18,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
19,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
20,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
21,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
22,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
23,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
24,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
25,Ponte Do Prata,MT,Pedra Preta,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21.0
26,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
27,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
28,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
29,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
30,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
31,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
32,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
33,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
34,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
35,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
36,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
37,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26.0
38,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
39,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
40,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
41,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
42,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
43,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
44,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
45,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
46,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
47,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
48,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
49,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
50,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
51,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
52,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
53,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
54,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
55,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
56,Ponte Presidente Dutra,PE,Petrolina,Concordo Totalmente,Concordo,Concordo,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Discordo Totalmente,Concordo,22.0
57,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
58,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
59,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
60,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
61,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
62,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
63,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
64,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
65,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
66,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
67,Ponte Do Guaíba,RS,Porto Alegre,Neutro,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,21.0
