cod_manifestacao,Nome da Ponte,UF,Município,A) A ponte está mal iluminada?,B) A sinalização na ponte é inadequada?,C) Há acúmulo de lixo ou entulho na ponte?,D) Há sinais visíveis de ferrugem ou rachaduras?,E) A ponte apresenta trepidação excessiva ao passar veículos?,F) A estrutura da ponte aparenta má conservação?,G) Há dificuldades de acesso para pedestres ou ciclistas?,H) Há buracos ou desníveis na ponte?,I) A ponte apresenta tráfego frequentemente congestionado?,J) A ponte possui guarda-corpos danificados ou ausentes?,K) Você se sente desconfortável/inseguro ao passar na ponte?,Pontuação
1,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
2,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
3,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
4,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
5,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
6,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
7,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
8,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
9,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
10,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
11,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
12,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
13,Ponte Das Bandeiras,MS,Campo Grande,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Discordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Discordo Totalmente,25
14,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
15,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
16,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
17,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
18,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
19,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
20,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
21,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
22,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
23,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
24,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
25,Ponte Do Prata,PA,Belém,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo,Neutro,Neutro,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,21
26,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
27,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
28,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
29,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
30,Ponte Governador Jorge Teixeira,MA,São Luís,Neutro,Concordo,Concordo,Concordo,Concordo Totalmente,Discordo Totalmente,Concordo,Neutro,Concordo,Concordo,Concordo,26
